Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
1984,,,,,George Orwell,"Orwell, George",,,,,,Penguin Random House Grupo Editorial España,,2013/03/07,2013,,,,Fiction,"«No creo que la sociedad que he descrito en 1984 necesariamente llegue a ser una realidad, pero sí creo que puede llegar a existir algo parecido», escribía Orwell después de publicar su novela. Corría el año 1948, y la realidad se ha encargado de convertir esa pieza -entonces de ciencia ficción- en un manifiesto de la realidad. En el año 1984 Londres es una ciudad lúgubre en la que la Policía del Pensamiento controla de forma asfixiante la vida de los ciudadanos. Winston Smith es un peón de este engranaje perverso y su cometido es reescribir la historia para adaptarla a lo que el Partido considera la versión oficial de los hechos. Hasta que decide replantearse la verdad del sistema que los gobierna y somete. La crítica ha dicho...«Aquí ya no estamos solo ante lo que habitualmente reconocemos como ""literatura"" e identificamos con la buena escritura. Aquí estamos, repito, ante energía visionaria. Y no todas las visiones se refieren al futuro, o al Más Allá.»Umberto Eco «Entre mis libros favoritos, lo leo una y otra vez.»Margaret Atwood «No es difícil pensar que Orwell, en 1984, estuviera imaginando un futuro para la generación de su hijo, un mundo del que deseaba prevenirles.»Thomas Pynchon «La libertad es una obligación tan dolorosa que siempre habrá quien prefiera rendirse. La virtud de libros como 1984 es su capacidad para recordarnos que la libertad de los seres humanos responsables no es igual a la de los animales.»Anthony Burgess «Desde El proceso de Kafka ninguna obra fantástica ha alcanzado el horror lógico de 1984.»Arthur Koestler «Un libro magnífico y profundamente interesante.»Aldous Huxley",,,,,,,,,,,354,,,,,,español,,,,,,9788490325070,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 20:46:44.585921049,,,,,,,,uFI8Kmx3a0oC,,0,,0,,,
2001 La Odisea Continua,,La odisea continúa,,,Esteban Raul Alda,"Alda, Esteban Raul",,,,,,Jaguar Books,,,2000,,,,,,,,,,,,,,,,255,,,,,,,,,,,,9788489960831,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 20:09:38.041067123,,,,,,,,,,0,,0,,https://covers.openlibrary.org/b/id/2272542-L.jpg,
2010 : Odisea dos - 1. edición,,,,,Arthur C. Clarke,"Clarke, Arthur C.",,,,,,DEBOLSILLO,,,2007,,,,,"¿Qué extraño propósito subyace en el monolito? ¿Qué pudo llevar a HAL  a acabar con la tripulación? Todas estas preguntas y muchas más encuentran su respuesta en 2010: Odisea dos. Nueve años después de la desastrosa misión Discovery a Júpiter en 2001,  una nueva expedición formada por estadounidenses y rusos parte para  encontrar la nave perdida y buscar en el banco de datos del rebelde  ordenador HAL 9000 algo que explique qué ocurrió y dónde está el  comandante Bowman. Mientras tanto, el ser que fue una vez Dave Bowman  -el único humano que podía dar la clave sobre el misterio del monolito- se dirige hacia la Tierra en una misión vital... Reseña:«Una digna sucesora de 2001.»Carl Sagan",,,,,,,,,,,,,,,,,Spanish,,,,,,9788483463475,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 21:41:13.080456018,,,,,,,,,,0,,0,,https://covers.openlibrary.org/b/id/8084083-L.jpg,
A Crack in Creation,,Gene Editing and the Unthinkable Power to Control Evolution,,,"Jennifer A. Doudna, Samuel H. Sternberg","Doudna, Jennifer A.",,,,,,Houghton Mifflin Harcourt,,2017/06/13,2017,,,,Science,"BY THE WINNER OF THE 2020 NOBEL PRIZE IN CHEMISTRY Finalist for the Los Angeles Times Book Prize    “The future is in our hands as never before, and this book explains the stakes like no other.” — George Lucas“Required reading for every concerned citizen.” — New York Review of Books   Not since the atomic bomb has a technology so alarmed its inventors that they warned the world about its use. That is, until 2015, when biologist Jennifer Doudna called for a worldwide moratorium on the use of the gene-editing tool CRISPR—a revolutionary new technology that she helped create—to make heritable changes in human embryos. The cheapest, simplest, most effective way of manipulating DNA ever known, CRISPR may well give us the cure to HIV, genetic diseases, and some cancers. Yet even the tiniest changes to DNA could have myriad, unforeseeable consequences, to say nothing of the ethical and societal repercussions of intentionally mutating embryos to create “better” humans. Writing with fellow researcher Sam Sternberg, Doudna—who has since won the Nobel Prize for her CRISPR research—shares the thrilling story of her discovery and describes the enormous responsibility that comes with the power to rewrite the code of life.  “An invaluable account . . . We owe Doudna several times over.” — Guardian",,,,,,,,,,,320,Kindle,,,,,inglés,,,,,,9780544716964,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/04 08:54:14.641407966,,,,,,,,F8WlDAAAQBAJ,,0,,0,,,
A Field Guide to the Stars and Planets,,,,,Jay M. Pasachoff,"Pasachoff, Jay M.",,,,,,Houghton Mifflin,,,1992,,,,Observers' manuals,"This edition features even more color photographs of the planets and their satellites, nebulae, and other beautiful objects. There are also detailed maps of the moon's surface and charts showing which planets are visible on any given night. Novices will find ""tours"" of the sky, explaining in detail how to find each object. More experienced observers will appreciate the charts, tables, and diagrams showing the best double stars, variable stars, nebulae, and other objects to observe. No special equipment is needed to use this book; the brightest stars and planets are visible with the naked eye. A pair of ordinary binoculars will reveal a surprising amount of detail. For those with telescopes, this Field Guide will provide a single ready reference to the objects in the entire sky.",,,,,,,,,,,502,,,,,,inglés,,,,,,9780395537596,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 20:09:38.079395055,,,,,,,,dRUbAQAAIAAJ,,0,,0,,"http://ecx.images-amazon.com/images/I/51KNxCHckPL._SL500_SY344_BO1,204,203,200_.jpg",
A hombros de gigantes,,,,,Stephen Hawking,"Hawking, Stephen",,,,,,Grupo Planeta (GBS),,2010/05/27,2010,,,,Science,"El físico de renombre mundial presenta una mirada revolucionaria en los trascendentales descubrimientos que cambiaron la percepción del mundo, por primera vez compila siete obras clásicas de la física y la astronomía. Escritos emblemáticos por algunos de los grandes pensadores del mundo, incluyendo a Copérnico, Newton y Kepler.",,,,,,,,,,,1032,,,,,,español,,,,,,9788498920949,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 20:18:29.539252996,,,,,,,,1YKGp2Py7LEC,,0,,0,,,
A pie por Londres,,lo mejor de la ciudad,,,Sara Calian,"Calian, Sara",,,,,,RBA,,,2012,,,,,,,,,,,,,,,,192,,,,,,español,,,,,,9788482980744,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/01 08:20:41.295072078,,,,,,,,O6dlxgEACAAJ,,0,,0,,http://images.amazon.com/images/P/8482980742.01Z.jpg,
A sangre fría,,,,,Truman Capote,"Capote, Truman",,,,,,Random House Mondadori,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,9789588639925,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 21:07:26.940893173,,,,,,,,,,0,,0,,https://i.ebayimg.com/images/g/o5wAAOSwaKJfPFV6/s-l300.jpg,
A sangre fría,,,,,Truman Capote,"Capote, Truman",,,,,,DEBOLS!LLO,,2016/03/01,2016,,,,Language Arts & Disciplines,"Con un pie en el periodismo y otro en la literatura, relata el asesinato de los cuatro miembros de la familia Clutter, en Kansas, el 15 de noviembre de 1959, y el destino de los dos responsables de las muertes: Dick Hickcock y Perry Smith.   Publicado originalmente en 1966, A sangre fría consagró a Truman Capote como uno de los grandes escritores de la narrativa norteamericana del siglo XX. Con un pie en el periodismo y otro en la literatura, relata el asesinato de los cuatro miembros de la familia Clutter, en Kansas, el 15 de noviembre de 1959, y el destino de los dos responsables de las muertes: Dick Hickcock y Perry Smith. Capote se sumerge en la vida del tranquilo pueblo, esboza los retratos de las víctimas, acompaña a la policía en las pesquisas que condujeron al descubrimiento de los asesinos y, sobre todo, se concentra en los criminales hasta construir dos personajes magistrales, a los que llegamos a conocer en profundidad. Una novela sobre la violencia y la locura que se lee como si hubiera sido escrita ayer. Esta edición especial permite acercar a más lectores uno de los textos fundamentales del Nuevo Periodismo y uno de los ejemplos más acabados de la non fiction.",,,,,,,,,,,228,,,,,,español,,,,,,9789877251616,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/26 22:09:46.342622995,,,,,Buscalibre,66000 $,,k0igCwAAQBAJ,,0,0,0,,,
Acabo de llegar,,el final de un principio en historia natural,,,Stephen Jay Gould,"Gould, Stephen Jay",,,,,,Crítica,,,2012,,,,,,,,,,,,,,,,535,,,,,,español,,,,,,9788408008798,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2020/12/31 21:21:11.330915927,,,,,,,,0WlmnAEACAAJ,,0,,0,,,
